SPED,Affiliation Binary,Affiliation,Academy or House,Paideia,Description_U9,Description_U11,Sex,Grade,Zip code,Ethnicity,Last School,Class Rank,Language Fluency,GPA,2.5,GPA Slice
Not applicable,Affiliated,Oakland Tech - Computer Academy AND Paideia,Oakland Tech - Computer Academy,Paideia,Oakland Tech - Computer Academy,Not applicable,F,10,94601,Chinese,Oakland Technical HS,184,Redesignated (RFEP),3.56,Above,4
Not applicable,Affiliated,Oakland Tech - Computer Academy AND Paideia,Oakland Tech - Computer Academy,Paideia,Oakland Tech - Computer Academy,Not applicable,M,11,94611,Asian Indian,Oakland Technical HS,277,English Only,3.10,Above,4
Not applicable,Affiliated,Oakland Tech - Computer Academy AND Paideia,Oakland Tech - Computer Academy,Paideia,Oakland Tech - Computer Academy,Not applicable,M,12,94611,Chinese,Oakland Technical HS,87,English Only,4.10,Above,5
Not applicable,Affiliated,Oakland Tech - Computer Academy AND Paideia,Oakland Tech - Computer Academy,Paideia,Oakland Tech - Computer Academy,Not applicable,M,10,94609,Chinese,Oakland Technical HS,19,English Only,4.06,Above,5
Not applicable,Affiliated,Oakland Tech - Computer Academy AND Paideia,Oakland Tech - Computer Academy,Paideia,Oakland Tech - Computer Academy,Not applicable,M,12,94610,White (not Hispanic),Oakland Technical HS,37,English Only,4.24,Above,5
Not applicable,Affiliated,Oakland Tech - Computer Academy AND Paideia,Oakland Tech - Computer Academy,Paideia,Oakland Tech - Computer Academy,Not applicable,M,11,94610,Chinese,Oakland Technical HS,120,English Only,3.82,Above,4
Not applicable,Affiliated,Oakland Tech - Computer Academy AND Paideia,Oakland Tech - Computer Academy,Paideia,Oakland Tech - Computer Academy,Not applicable,M,10,94602,White (not Hispanic),Oakland Technical HS,163,English Only,3.67,Above,4
RSP (Resource Specialist Program),Affiliated,Oakland Tech - Computer Academy AND Paideia,Oakland Tech - Computer Academy,Paideia,Oakland Tech - Computer Academy,Not applicable,M,10,94611,White (not Hispanic),Oakland Technical HS,282,English Only,3.11,Above,4
Not applicable,Affiliated,Oakland Tech - Computer Academy AND Paideia,Oakland Tech - Computer Academy,Paideia,Oakland Tech - Computer Academy,Not applicable,F,11,94606,Vietnamese,Oakland Technical HS,77,Redesignated (RFEP),4.00,Above,4
Not applicable,Affiliated,Oakland Tech - Computer Academy AND Paideia,Oakland Tech - Computer Academy,Paideia,Oakland Tech - Computer Academy,Not applicable,F,10,94612,Vietnamese,Oakland Technical HS,33,Redesignated (RFEP),4.00,Above,4
Not applicable,Affiliated,Oakland Tech - Computer Academy AND Paideia,Oakland Tech - Computer Academy,Paideia,Oakland Tech - Computer Academy,Not applicable,M,11,94610,Chinese,Oakland Technical HS,49,Redesignated (RFEP),4.06,Above,5
Not applicable,Affiliated,Oakland Tech - Computer Academy AND Paideia,Oakland Tech - Computer Academy,Paideia,Oakland Tech - Computer Academy,Not applicable,F,10,94606,Chinese,Oakland Technical HS,243,Redesignated (RFEP),3.25,Above,4
Not applicable,Affiliated,Oakland Tech - Computer Academy AND Paideia,Oakland Tech - Computer Academy,Paideia,Oakland Tech - Computer Academy,Not applicable,M,11,94611,White (not Hispanic),Oakland Technical HS,43,English Only,4.07,Above,5
Not applicable,Affiliated,Oakland Tech - Computer Academy AND Paideia,Oakland Tech - Computer Academy,Paideia,Oakland Tech - Computer Academy,Not applicable,F,10,94608,Black or African American,Oakland Technical HS,279,English Only,3.17,Above,4
Not applicable,Affiliated,Oakland Tech - Computer Academy AND Paideia,Oakland Tech - Computer Academy,Paideia,Oakland Tech - Computer Academy,Not applicable,F,10,94611,Chinese,Oakland Technical HS,163,Initially Fluent (IFEP),3.61,Above,4
Not applicable,Affiliated,Oakland Tech - Computer Academy AND Paideia,Oakland Tech - Computer Academy,Paideia,Oakland Tech - Computer Academy,Not applicable,M,10,94610,Chinese,Oakland Technical HS,211,Redesignated (RFEP),3.42,Above,4
Not applicable,Affiliated,Oakland Tech - Computer Academy AND Paideia,Oakland Tech - Computer Academy,Paideia,Oakland Tech - Computer Academy,Not applicable,M,12,94601,White (not Hispanic),Oakland Technical HS,91,English Only,4.07,Above,5
Not applicable,Affiliated,Oakland Tech - Computer Academy AND Paideia,Oakland Tech - Computer Academy,Paideia,Oakland Tech - Computer Academy,Not applicable,M,11,94602,Hispanic or Latino,Oakland Technical HS,46,English Only,4.06,Above,5
Not applicable,Affiliated,Oakland Tech - Computer Academy AND Paideia,Oakland Tech - Computer Academy,Paideia,Oakland Tech - Computer Academy,Not applicable,M,11,94544,Hispanic or Latino,Oakland Technical HS,422,English Only,1.97,Below,2
Not applicable,Affiliated,Oakland Tech - Computer Academy AND Paideia,Oakland Tech - Computer Academy,Paideia,Oakland Tech - Computer Academy,Not applicable,M,11,94601,Black or African American,Oakland Technical HS,452,English Only,1.30,Below,2
Not applicable,Affiliated,Oakland Tech - Computer Academy AND Paideia,Oakland Tech - Computer Academy,Paideia,Oakland Tech - Computer Academy,Not applicable,M,12,94612,Black or African American,Oakland Technical HS,372,English Only,2.54,Above,3
Not applicable,Affiliated,Oakland Tech - Computer Academy AND Paideia,Oakland Tech - Computer Academy,Paideia,Oakland Tech - Computer Academy,Not applicable,F,12,94607,Black or African American,Oakland Technical HS,362,Redesignated (RFEP),2.85,Above,3
RSP (Resource Specialist Program),Affiliated,Oakland Tech - Computer Academy AND Paideia,Oakland Tech - Computer Academy,Paideia,Oakland Tech - Computer Academy,Not applicable,M,11,94610,Hispanic or Latino,Oakland Technical HS,431,English Only,1.87,Below,2
Not applicable,Affiliated,Oakland Tech - Computer Academy,Oakland Tech - Computer Academy,Not Applicable,Oakland Tech - Computer Academy,Not applicable,M,10,94608,Black or African American,Oakland Technical HS,364,English Learner,2.33,Below,3
RSP (Resource Specialist Program),Affiliated,Oakland Tech - Computer Academy,Oakland Tech - Computer Academy,Not Applicable,Oakland Tech - Computer Academy,Not applicable,M,11,94602,Chinese,Oakland Technical HS,433,Redesignated (RFEP),1.63,Below,2
Not applicable,Affiliated,Oakland Tech - Computer Academy,Oakland Tech - Computer Academy,Not Applicable,Oakland Tech - Computer Academy,Not applicable,F,11,94602,Black or African American,Oakland Technical HS,404,English Only,2.16,Below,3
Not applicable,Affiliated,Oakland Tech - Computer Academy,Oakland Tech - Computer Academy,Not Applicable,Oakland Tech - Computer Academy,Not applicable,M,12,94547,Black or African American,Oakland Technical HS,438,English Only,2.05,Below,3
Not applicable,Affiliated,Oakland Tech - Computer Academy,Oakland Tech - Computer Academy,Not Applicable,Oakland Tech - Computer Academy,Not applicable,M,11,94609,Black or African American,Oakland Technical HS,424,English Only,1.82,Below,2
Not applicable,Affiliated,Oakland Tech - Computer Academy,Oakland Tech - Computer Academy,Not Applicable,Oakland Tech - Computer Academy,Not applicable,M,12,94602,White (not Hispanic),Oakland Technical HS,341,Initially Fluent (IFEP),2.80,Above,3
SDC (Special Day Class),Affiliated,"Oakland Tech - Fashion, Arts, & Design Academy (CPA)","Oakland Tech - Fashion, Arts, & Design Academy (CPA)",Not applicable,"Oakland Tech - Fashion, Arts, & Design Academy (CPA)",Not applicable,M,11,94608,Black or African American,Oakland Technical HS,290,English Only,3.07,Above,4
RSP (Resource Specialist Program),Affiliated,"Oakland Tech - Fashion, Arts, & Design Academy (CPA)","Oakland Tech - Fashion, Arts, & Design Academy (CPA)",Not applicable,"Oakland Tech - Fashion, Arts, & Design Academy (CPA)",Not applicable,M,11,94603,Hispanic or Latino,Oakland Technical HS,413,Redesignated (RFEP),1.67,Below,2
Not applicable,Affiliated,"Oakland Tech - Fashion, Arts, & Design Academy (CPA)","Oakland Tech - Fashion, Arts, & Design Academy (CPA)",Not applicable,"Oakland Tech - Fashion, Arts, & Design Academy (CPA)",Not applicable,F,12,94611,White (not Hispanic),Oakland Technical HS,382,Redesignated (RFEP),2.61,Above,3
Not applicable,Affiliated,"Oakland Tech - Fashion, Arts, & Design Academy (CPA)","Oakland Tech - Fashion, Arts, & Design Academy (CPA)",Not applicable,"Oakland Tech - Fashion, Arts, & Design Academy (CPA)",Not applicable,F,11,94602,White (not Hispanic),Oakland Technical HS,381,English Only,2.40,Below,3
Not applicable,Affiliated,"Oakland Tech - Fashion, Arts, & Design Academy (CPA)","Oakland Tech - Fashion, Arts, & Design Academy (CPA)",Not applicable,"Oakland Tech - Fashion, Arts, & Design Academy (CPA)",Not applicable,F,12,94602,Black or African American,Oakland Technical HS,333,English Only,2.88,Above,3
Not applicable,Affiliated,"Oakland Tech - Fashion, Arts, & Design Academy (CPA)","Oakland Tech - Fashion, Arts, & Design Academy (CPA)",Not applicable,"Oakland Tech - Fashion, Arts, & Design Academy (CPA)",Not applicable,F,11,94609,Black or African American,Oakland Technical HS,470,English Only,1.16,Below,2
Not applicable,Affiliated,"Oakland Tech - Fashion, Arts, & Design Academy (CPA)","Oakland Tech - Fashion, Arts, & Design Academy (CPA)",Not applicable,"Oakland Tech - Fashion, Arts, & Design Academy (CPA)",Not applicable,F,11,94612,Chinese,Oakland Technical HS,413,Redesignated (RFEP),1.84,Below,2
Not applicable,Affiliated,"Oakland Tech - Fashion, Arts, & Design Academy (CPA)","Oakland Tech - Fashion, Arts, & Design Academy (CPA)",Not applicable,"Oakland Tech - Fashion, Arts, & Design Academy (CPA)",Not applicable,M,11,94609,Black or African American,Oakland Technical HS,436,Redesignated (RFEP),1.73,Below,2
Not applicable,Affiliated,"Oakland Tech - Fashion, Arts, & Design Academy (CPA)","Oakland Tech - Fashion, Arts, & Design Academy (CPA)",Not applicable,"Oakland Tech - Fashion, Arts, & Design Academy (CPA)",Not applicable,F,10,94606,Black or African American,Oakland Technical HS,317,English Only,2.83,Above,3
Not applicable,Affiliated,"Oakland Tech - Fashion, Arts, & Design Academy (CPA)","Oakland Tech - Fashion, Arts, & Design Academy (CPA)",Not applicable,"Oakland Tech - Fashion, Arts, & Design Academy (CPA)",Not applicable,F,11,94612,Black or African American,Oakland Technical HS,478,English Only,1.20,Below,2
SDC (Special Day Class),Affiliated,"Oakland Tech - Fashion, Arts, & Design Academy (CPA)","Oakland Tech - Fashion, Arts, & Design Academy (CPA)",Not applicable,"Oakland Tech - Fashion, Arts, & Design Academy (CPA)",Not applicable,M,12,94621,Hispanic or Latino,Oakland Technical HS,312,English Learner,3.20,Above,4
Not applicable,Affiliated,"Oakland Tech - Fashion, Arts, & Design Academy (CPA)","Oakland Tech - Fashion, Arts, & Design Academy (CPA)",Not applicable,"Oakland Tech - Fashion, Arts, & Design Academy (CPA)",Not applicable,F,10,94618,White (not Hispanic),Oakland Technical HS,248,English Only,3.39,Above,4
Not applicable,Affiliated,"Oakland Tech - Fashion, Arts, & Design Academy (CPA)","Oakland Tech - Fashion, Arts, & Design Academy (CPA)",Not applicable,"Oakland Tech - Fashion, Arts, & Design Academy (CPA)",Not applicable,F,12,94611,White (not Hispanic),Oakland Technical HS,392,English Only,2.54,Above,3
Not applicable,Affiliated,"Oakland Tech - Fashion, Arts, & Design Academy (CPA)","Oakland Tech - Fashion, Arts, & Design Academy (CPA)",Not applicable,"Oakland Tech - Fashion, Arts, & Design Academy (CPA)",Not applicable,F,11,94601,Hispanic or Latino,Oakland Technical HS,356,Redesignated (RFEP),2.57,Above,3
Not applicable,Affiliated,"Oakland Tech - Fashion, Arts, & Design Academy (CPA)","Oakland Tech - Fashion, Arts, & Design Academy (CPA)",Not applicable,"Oakland Tech - Fashion, Arts, & Design Academy (CPA)",Not applicable,M,11,94610,White (not Hispanic),Oakland Technical HS,264,English Only,3.10,Above,4
Not applicable,Affiliated,"Oakland Tech - Fashion, Arts, & Design Academy (CPA)","Oakland Tech - Fashion, Arts, & Design Academy (CPA)",Not applicable,"Oakland Tech - Fashion, Arts, & Design Academy (CPA)",Not applicable,F,11,94608,Black or African American,Oakland Technical HS,392,English Only,2.30,Below,3
Not applicable,Affiliated,"Oakland Tech - Fashion, Arts, & Design Academy (CPA)","Oakland Tech - Fashion, Arts, & Design Academy (CPA)",Not applicable,"Oakland Tech - Fashion, Arts, & Design Academy (CPA)",Not applicable,F,10,94612,Black or African American,Oakland Technical HS,335,English Only,2.65,Above,3
Not applicable,Affiliated,"Oakland Tech - Fashion, Arts, & Design Academy (CPA)","Oakland Tech - Fashion, Arts, & Design Academy (CPA)",Not applicable,"Oakland Tech - Fashion, Arts, & Design Academy (CPA)",Not applicable,M,10,94608,Black or African American,Oakland Technical HS,221,English Only,3.33,Above,4
SDC (Special Day Class),Affiliated,"Oakland Tech - Fashion, Arts, & Design Academy (CPA)","Oakland Tech - Fashion, Arts, & Design Academy (CPA)",Not applicable,"Oakland Tech - Fashion, Arts, & Design Academy (CPA)",Not applicable,M,12,94606,Black or African American,Oakland Technical HS,175,English Only,3.71,Above,4
Not applicable,Affiliated,"Oakland Tech - Fashion, Arts, & Design Academy (CPA)","Oakland Tech - Fashion, Arts, & Design Academy (CPA)",Not applicable,"Oakland Tech - Fashion, Arts, & Design Academy (CPA)",Not applicable,F,12,94608,Black or African American,Oakland Technical HS,462,English Only,1.92,Below,2
Not applicable,Affiliated,"Oakland Tech - Fashion, Arts, & Design Academy (CPA)","Oakland Tech - Fashion, Arts, & Design Academy (CPA)",Not applicable,"Oakland Tech - Fashion, Arts, & Design Academy (CPA)",Not applicable,F,10,94609,Black or African American,Oakland Technical HS,383,English Only,2.44,Below,3
RSP (Resource Specialist Program),Affiliated,"Oakland Tech - Fashion, Arts, & Design Academy (CPA)","Oakland Tech - Fashion, Arts, & Design Academy (CPA)",Not applicable,"Oakland Tech - Fashion, Arts, & Design Academy (CPA)",Not applicable,F,11,94609,Black or African American,Oakland Technical HS,360,English Only,2.57,Above,3
Not applicable,Affiliated,"Oakland Tech - Fashion, Arts, & Design Academy (CPA)","Oakland Tech - Fashion, Arts, & Design Academy (CPA)",Not applicable,"Oakland Tech - Fashion, Arts, & Design Academy (CPA)",Not applicable,F,10,94610,Filipino,Oakland Technical HS,487,Redesignated (RFEP),1.53,Below,2
Not applicable,Affiliated,"Oakland Tech - Fashion, Arts, & Design Academy (CPA)","Oakland Tech - Fashion, Arts, & Design Academy (CPA)",Not applicable,"Oakland Tech - Fashion, Arts, & Design Academy (CPA)",Not applicable,M,10,94619,White (not Hispanic),Oakland Technical HS,393,English Only,2.11,Below,3
Not applicable,Affiliated,"Oakland Tech - Fashion, Arts, & Design Academy (CPA)","Oakland Tech - Fashion, Arts, & Design Academy (CPA)",Not applicable,"Oakland Tech - Fashion, Arts, & Design Academy (CPA)",Not applicable,F,11,94572,Black or African American,Oakland Technical HS,346,English Only,2.63,Above,3
Not applicable,Affiliated,"Oakland Tech - Fashion, Arts, & Design Academy (CPA)","Oakland Tech - Fashion, Arts, & Design Academy (CPA)",Not applicable,"Oakland Tech - Fashion, Arts, & Design Academy (CPA)",Not applicable,F,12,94611,Hispanic or Latino,Oakland Technical HS,376,English Only,2.74,Above,3
Not applicable,Affiliated,"Oakland Tech - Fashion, Arts, & Design Academy (CPA)","Oakland Tech - Fashion, Arts, & Design Academy (CPA)",Not applicable,"Oakland Tech - Fashion, Arts, & Design Academy (CPA)",Not applicable,M,10,94611,Filipino,Oakland Technical HS,336,English Only,2.56,Above,3
SDC (Special Day Class),Affiliated,"Oakland Tech - Fashion, Arts, & Design Academy (CPA)","Oakland Tech - Fashion, Arts, & Design Academy (CPA)",Not applicable,"Oakland Tech - Fashion, Arts, & Design Academy (CPA)",Not applicable,M,11,94608,Black or African American,Oakland Technical HS,63,English Only,4.00,Above,4
Inclusion,Affiliated,"Oakland Tech - Fashion, Arts, & Design Academy (CPA)","Oakland Tech - Fashion, Arts, & Design Academy (CPA)",Not applicable,"Oakland Tech - Fashion, Arts, & Design Academy (CPA)",Not applicable,M,12,94605,Other or Not Specified,Oakland Technical HS,409,English Only,2.33,Below,3
SDC (Special Day Class),Affiliated,"Oakland Tech - Fashion, Arts, & Design Academy (CPA)","Oakland Tech - Fashion, Arts, & Design Academy (CPA)",Not applicable,"Oakland Tech - Fashion, Arts, & Design Academy (CPA)",Not applicable,F,11,94601,Hispanic or Latino,Oakland Technical HS,419,English Learner,1.88,Below,2
